username,repo_name,stars,repo_url
storybookjs,storybook,86000,https://github.com/storybookjs/storybook
nrwl,nx,24800,https://github.com/nrwl/nx
React95,React95,3600,https://github.com/React95/React95
BuilderIO,figma-html,3300,https://github.com/BuilderIO/figma-html
diegohaz,arc,2900,https://github.com/diegohaz/arc
vuesion,vuesion,2900,https://github.com/vuesion/vuesion
chromaui,learnstorybook.com,2400,https://github.com/chromaui/learnstorybook.com
trungvose,jira-clone-angular,2200,https://github.com/trungvose/jira-clone-angular
themesberg,flowbite-react,2000,https://github.com/themesberg/flowbite-react
AdaptiveConsulting,ReactiveTraderCloud,1800,https://github.com/AdaptiveConsulting/ReactiveTraderCloud
oblador,loki,1800,https://github.com/oblador/loki
danilowoz,react-atomic-design,1800,https://github.com/danilowoz/react-atomic-design
jj811208,watching-you,1600,https://github.com/jj811208/watching-you
pankod,next-boilerplate,1600,https://github.com/pankod/next-boilerplate
NiGhTTraX,ts-monorepo,1500,https://github.com/NiGhTTraX/ts-monorepo
ifmeorg,ifme,1500,https://github.com/ifmeorg/ifme
BearStudio,start-ui-web,1400,https://github.com/BearStudio/start-ui-web
lost-pixel,lost-pixel,1400,https://github.com/lost-pixel/lost-pixel
storybookjs,react-native,1100,https://github.com/storybookjs/react-native
TowhidKashem,snapchat-clone,1100,https://github.com/TowhidKashem/snapchat-clone
