username,repo_name,stars,repo_url
frappe,erpnext,23800,https://github.com/frappe/erpnext
hcengineering,platform,19400,https://github.com/hcengineering/platform
zammad,zammad,4700,https://github.com/zammad/zammad
freescout-help-desk,freescout,3300,https://github.com/freescout-help-desk/freescout
helpyio,helpy,2400,https://github.com/helpyio/helpy
espocrm,espocrm,2000,https://github.com/espocrm/espocrm
django-helpdesk,django-helpdesk,1600,https://github.com/django-helpdesk/django-helpdesk
mattmezza,vue-beautiful-chat,1500,https://github.com/mattmezza/vue-beautiful-chat
BadChoice,handesk,1400,https://github.com/BadChoice/handesk
polonel,trudesk,1400,https://github.com/polonel/trudesk
bestpractical,rt,989,https://github.com/bestpractical/rt
opensupports,opensupports,969,https://github.com/opensupports/opensupports
devaslanphp,project-management,897,https://github.com/devaslanphp/project-management
abhinavxd,libredesk,699,https://github.com/abhinavxd/libredesk
slowtec,tokio-modbus,438,https://github.com/slowtec/tokio-modbus
znuny,Znuny,427,https://github.com/znuny/Znuny
fateshen,iOSDeviceSupport,417,https://github.com/fateshen/iOSDeviceSupport
spatie,laravel-support-bubble,363,https://github.com/spatie/laravel-support-bubble
getsavvyinc,savvy-cli,360,https://github.com/getsavvyinc/savvy-cli
blakmatrix,node-zendesk,358,https://github.com/blakmatrix/node-zendesk
