username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,113000,https://github.com/justjavac/free-programming-books-zh_CN
appwrite,appwrite,47400,https://github.com/appwrite/appwrite
dkhamsing,open-source-ios-apps,44100,https://github.com/dkhamsing/open-source-ios-apps
serhii-londar,open-source-mac-os-apps,42900,https://github.com/serhii-londar/open-source-mac-os-apps
Alamofire,Alamofire,41700,https://github.com/Alamofire/Alamofire
iina,iina,39500,https://github.com/iina/iina
xitu,gold-miner,34000,https://github.com/xitu/gold-miner
shadowsocks,ShadowsocksX-NG,32600,https://github.com/shadowsocks/ShadowsocksX-NG
MonitorControl,MonitorControl,29100,https://github.com/MonitorControl/MonitorControl
kodecocodes,swift-algorithm-club,29000,https://github.com/kodecocodes/swift-algorithm-club
airbnb,lottie-ios,26100,https://github.com/airbnb/lottie-ios
matteocrippa,awesome-swift,25200,https://github.com/matteocrippa/awesome-swift
SDWebImage,SDWebImage,25100,https://github.com/SDWebImage/SDWebImage
vapor,vapor,24900,https://github.com/vapor/vapor
NativeScript,NativeScript,24600,https://github.com/NativeScript/NativeScript
ReactiveX,RxSwift,24500,https://github.com/ReactiveX/RxSwift
onevcat,Kingfisher,23600,https://github.com/onevcat/Kingfisher
SwiftyJSON,SwiftyJSON,22800,https://github.com/SwiftyJSON/SwiftyJSON
HeroTransitions,Hero,22200,https://github.com/HeroTransitions/Hero
CodeEditApp,CodeEdit,21500,https://github.com/CodeEditApp/CodeEdit
