username,repo_name,stars,repo_url
DIYgod,RSSHub,35400,https://github.com/DIYgod/RSSHub
tqdm,tqdm,29400,https://github.com/tqdm/tqdm
python-telegram-bot,python-telegram-bot,27000,https://github.com/python-telegram-bot/python-telegram-bot
telegramdesktop,tdesktop,27000,https://github.com/telegramdesktop/tdesktop
DrKLO,Telegram,25800,https://github.com/DrKLO/Telegram
pppscn,SmsForwarder,19900,https://github.com/pppscn/SmsForwarder
AZeC4,TelegramGroup,16600,https://github.com/AZeC4/TelegramGroup
openimsdk,open-im-server,14400,https://github.com/openimsdk/open-im-server
lss233,chatgpt-mirai-qq-bot,14200,https://github.com/lss233/chatgpt-mirai-qq-bot
tinode,chat,12300,https://github.com/tinode/chat
LonamiWebs,Telethon,10500,https://github.com/LonamiWebs/Telethon
RockChinQ,LangBot,8700,https://github.com/RockChinQ/LangBot
yagop,node-telegram-bot-api,8700,https://github.com/yagop/node-telegram-bot-api
telegraf,telegraf,8600,https://github.com/telegraf/telegraf
eternnoir,pyTelegramBotAPI,8300,https://github.com/eternnoir/pyTelegramBotAPI
zhukov,webogram,8000,https://github.com/zhukov/webogram
tdlib,td,7400,https://github.com/tdlib/td
jackhawks,rectg,7100,https://github.com/jackhawks/rectg
42wim,matterbridge,6900,https://github.com/42wim/matterbridge
ramboxapp,community-edition,6400,https://github.com/ramboxapp/community-edition
