username,repo_name,stars,repo_url
tensorflow,tensorflow,188000,https://github.com/tensorflow/tensorflow
huggingface,transformers,140000,https://github.com/huggingface/transformers
keras-team,keras,62600,https://github.com/keras-team/keras
CorentinJ,Real-Time-Voice-Cloning,53600,https://github.com/CorentinJ/Real-Time-Voice-Cloning
aymericdamien,TensorFlow-Examples,43500,https://github.com/aymericdamien/TensorFlow-Examples
google-research,bert,38700,https://github.com/google-research/bert
photoprism,photoprism,36600,https://github.com/photoprism/photoprism
ray-project,ray,35700,https://github.com/ray-project/ray
xitu,gold-miner,34000,https://github.com/xitu/gold-miner
lutzroeder,netron,29500,https://github.com/lutzroeder/netron
donnemartin,data-science-ipython-notebooks,27900,https://github.com/donnemartin/data-science-ipython-notebooks
deezer,spleeter,26400,https://github.com/deezer/spleeter
mozilla,DeepSpeech,26000,https://github.com/mozilla/DeepSpeech
roboflow,supervision,25900,https://github.com/roboflow/supervision
ageron,handson-ml,25300,https://github.com/ageron/handson-ml
d2l-ai,d2l-en,25100,https://github.com/d2l-ai/d2l-en
matterport,Mask_RCNN,25000,https://github.com/matterport/Mask_RCNN
MLEveryday,100-Days-Of-ML-Code,21500,https://github.com/MLEveryday/100-Days-Of-ML-Code
blakeblackshear,frigate,21300,https://github.com/blakeblackshear/frigate
Tencent,ncnn,21000,https://github.com/Tencent/ncnn
