username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,176000,https://github.com/ohmyzsh/ohmyzsh
microsoft,terminal,97200,https://github.com/microsoft/terminal
Eugeny,tabby,62100,https://github.com/Eugeny/tabby
alacritty,alacritty,57800,https://github.com/alacritty/alacritty
jesseduffield,lazygit,57100,https://github.com/jesseduffield/lazygit
tldr-pages,tldr,53800,https://github.com/tldr-pages/tldr
sharkdp,bat,51300,https://github.com/sharkdp/bat
Textualize,rich,50900,https://github.com/Textualize/rich
vercel,hyper,43700,https://github.com/vercel/hyper
GitSquared,edex-ui,41700,https://github.com/GitSquared/edex-ui
termux,termux-app,39300,https://github.com/termux/termux-app
chubin,cheat.sh,39000,https://github.com/chubin/cheat.sh
sharkdp,fd,35700,https://github.com/sharkdp/fd
httpie,cli,34900,https://github.com/httpie/cli
ibraheemdev,modern-unix,31700,https://github.com/ibraheemdev/modern-unix
tqdm,tqdm,29400,https://github.com/tqdm/tqdm
herrbischoff,awesome-macos-command-line,29300,https://github.com/herrbischoff/awesome-macos-command-line
fish-shell,fish-shell,28200,https://github.com/fish-shell/fish-shell
nicolargo,glances,27800,https://github.com/nicolargo/glances
Textualize,textual,27500,https://github.com/Textualize/textual
