username,repo_name,stars,repo_url
bregman-arie,devops-exercises,69500,https://github.com/bregman-arie/devops-exercises
hashicorp,terraform,44300,https://github.com/hashicorp/terraform
MichaelCade,90DaysOfDevOps,27700,https://github.com/MichaelCade/90DaysOfDevOps
GoogleCloudPlatform,microservices-demo,17600,https://github.com/GoogleCloudPlatform/microservices-demo
GoogleCloudPlatform,terraformer,13200,https://github.com/GoogleCloudPlatform/terraformer
semaphoreui,semaphore,11400,https://github.com/semaphoreui/semaphore
infracost,infracost,11300,https://github.com/infracost/infracost
budtmo,docker-android,10400,https://github.com/budtmo/docker-android
hashicorp,terraform-provider-aws,10100,https://github.com/hashicorp/terraform-provider-aws
coder,coder,9100,https://github.com/coder/coder
gruntwork-io,terragrunt,8400,https://github.com/gruntwork-io/terragrunt
khuedoan,homelab,8400,https://github.com/khuedoan/homelab
runatlantis,atlantis,8100,https://github.com/runatlantis/atlantis
gruntwork-io,terratest,7600,https://github.com/gruntwork-io/terratest
bridgecrewio,checkov,7400,https://github.com/bridgecrewio/checkov
turbot,steampipe,7200,https://github.com/turbot/steampipe
aquasecurity,tfsec,6800,https://github.com/aquasecurity/tfsec
HariSekhon,DevOps-Bash-tools,6500,https://github.com/HariSekhon/DevOps-Bash-tools
Orange-Cyberdefense,GOAD,6100,https://github.com/Orange-Cyberdefense/GOAD
shuaibiyy,awesome-tf,5700,https://github.com/shuaibiyy/awesome-tf
