username,repo_name,stars,repo_url
JuliaLang,julia,46500,https://github.com/JuliaLang/julia
nteract,papermill,6100,https://github.com/nteract/papermill
fonsp,Pluto.jl,5100,https://github.com/fonsp/Pluto.jl
multiprocessio,datastation,2900,https://github.com/multiprocessio/datastation
SciML,DifferentialEquations.jl,2900,https://github.com/SciML/DifferentialEquations.jl
grame-cncm,faust,2700,https://github.com/grame-cncm/faust
MilesCranmer,PySR,2600,https://github.com/MilesCranmer/PySR
szcf-weiya,ESL-CN,2500,https://github.com/szcf-weiya/ESL-CN
MakieOrg,Makie.jl,2500,https://github.com/MakieOrg/Makie.jl
GenieFramework,Genie.jl,2300,https://github.com/GenieFramework/Genie.jl
jump-dev,JuMP.jl,2300,https://github.com/jump-dev/JuMP.jl
GiovineItalia,Gadfly.jl,1900,https://github.com/GiovineItalia/Gadfly.jl
JuliaPlots,Plots.jl,1900,https://github.com/JuliaPlots/Plots.jl
JuliaAI,MLJ.jl,1800,https://github.com/JuliaAI/MLJ.jl
JuliaData,DataFrames.jl,1700,https://github.com/JuliaData/DataFrames.jl
FluxML,Zygote.jl,1500,https://github.com/FluxML/Zygote.jl
JuliaPy,PyCall.jl,1500,https://github.com/JuliaPy/PyCall.jl
SciML,ModelingToolkit.jl,1500,https://github.com/SciML/ModelingToolkit.jl
cormullion,juliamono,1500,https://github.com/cormullion/juliamono
JuliaPlots,UnicodePlots.jl,1500,https://github.com/JuliaPlots/UnicodePlots.jl
