username,repo_name,stars,repo_url
huginn,huginn,45000,https://github.com/huginn/huginn
DIYgod,RSSHub,35400,https://github.com/DIYgod/RSSHub
tw93,Pake,35300,https://github.com/tw93/Pake
imputnet,cobalt,28500,https://github.com/imputnet/cobalt
GorvGoyl,Clone-Wars,28300,https://github.com/GorvGoyl/Clone-Wars
KurtBestor,Hitomi-Downloader,24100,https://github.com/KurtBestor/Hitomi-Downloader
twintproject,twint,16000,https://github.com/twintproject/twint
mikf,gallery-dl,12900,https://github.com/mikf/gallery-dl
tweepy,tweepy,10700,https://github.com/tweepy/tweepy
FujiwaraChoki,MoneyPrinterV2,10600,https://github.com/FujiwaraChoki/MoneyPrinterV2
zedeus,nitter,10500,https://github.com/zedeus/nitter
megadose,holehe,8400,https://github.com/megadose/holehe
aritraroy,UltimateAndroidReference,7900,https://github.com/aritraroy/UltimateAndroidReference
mendel5,alternative-front-ends,7600,https://github.com/mendel5/alternative-front-ends
maxbbraun,trump2cash,6300,https://github.com/maxbbraun/trump2cash
optonaut,ActiveLabel.swift,4500,https://github.com/optonaut/ActiveLabel.swift
abraham,twitteroauth,4300,https://github.com/abraham/twitteroauth
rocboss,paopao-ce,4000,https://github.com/rocboss/paopao-ce
TheAlphamerc,flutter_twitter_clone,4000,https://github.com/TheAlphamerc/flutter_twitter_clone
bisguzar,twitter-scraper,4000,https://github.com/bisguzar/twitter-scraper
