username,repo_name,stars,repo_url
microsoft,vscode,168000,https://github.com/microsoft/vscode
microsoft,TypeScript,102000,https://github.com/microsoft/TypeScript
denoland,deno,102000,https://github.com/denoland/deno
angular,angular,97100,https://github.com/angular/angular
ant-design,ant-design,93800,https://github.com/ant-design/ant-design
storybookjs,storybook,86000,https://github.com/storybookjs/storybook
oven-sh,bun,76500,https://github.com/oven-sh/bun
mermaid-js,mermaid,76200,https://github.com/mermaid-js/mermaid
nestjs,nest,69600,https://github.com/nestjs/nest
enaqx,awesome-react,67000,https://github.com/enaqx/awesome-react
strapi,strapi,65200,https://github.com/strapi/strapi
n8n-io,n8n,63400,https://github.com/n8n-io/n8n
immich-app,immich,59000,https://github.com/immich-app/immich
ionic-team,ionic-framework,51500,https://github.com/ionic-team/ionic-framework
prettier,prettier,50000,https://github.com/prettier/prettier
DefinitelyTyped,DefinitelyTyped,49300,https://github.com/DefinitelyTyped/DefinitelyTyped
typescript-cheatsheets,react,46000,https://github.com/typescript-cheatsheets/react
type-challenges,type-challenges,44500,https://github.com/type-challenges/type-challenges
Asabeneh,30-Days-Of-JavaScript,44000,https://github.com/Asabeneh/30-Days-Of-JavaScript
TanStack,query,44000,https://github.com/TanStack/query
