username,repo_name,stars,repo_url
icsharpcode,ILSpy,22400,https://github.com/icsharpcode/ILSpy
lettier,3d-game-shaders-for-beginners,18400,https://github.com/lettier/3d-game-shaders-for-beginners
Unity-Technologies,ml-agents,17700,https://github.com/Unity-Technologies/ml-agents
Perfare,AssetStudio,13800,https://github.com/Perfare/AssetStudio
Tencent,xLua,9500,https://github.com/Tencent/xLua
egametang,ET,9100,https://github.com/egametang/ET
Cysharp,UniTask,8800,https://github.com/Cysharp/UniTask
jynew,jynew,8200,https://github.com/jynew/jynew
dnSpyEx,dnSpy,7900,https://github.com/dnSpyEx/dnSpy
0xFA11,MultiplayerNetworkingResources,7700,https://github.com/0xFA11/MultiplayerNetworkingResources
Perfare,Il2CppDumper,7500,https://github.com/Perfare/Il2CppDumper
sschmid,Entitas,7300,https://github.com/sschmid/Entitas
neuecc,UniRx,7200,https://github.com/neuecc/UniRx
focus-creative-games,hybridclr,6900,https://github.com/focus-creative-games/hybridclr
RyanNielson,awesome-unity,6800,https://github.com/RyanNielson/awesome-unity
ColinLeung-NiloCat,UnityURPToonLitShaderExample,6700,https://github.com/ColinLeung-NiloCat/UnityURPToonLitShaderExample
EllanJiang,GameFramework,6100,https://github.com/EllanJiang/GameFramework
mob-sakai,UIEffect,6100,https://github.com/mob-sakai/UIEffect
microsoft,MixedRealityToolkit-Unity,6000,https://github.com/microsoft/MixedRealityToolkit-Unity
MessagePack-CSharp,MessagePack-CSharp,6000,https://github.com/MessagePack-CSharp/MessagePack-CSharp
