username,repo_name,stars,repo_url
flutter,flutter,169000,https://github.com/flutter/flutter
facebook,react-native,121000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,113000,https://github.com/justjavac/free-programming-books-zh_CN
Solido,awesome-flutter,54900,https://github.com/Solido/awesome-flutter
ultralytics,yolov5,52600,https://github.com/ultralytics/yolov5
FiloSottile,mkcert,52400,https://github.com/FiloSottile/mkcert
ionic-team,ionic-framework,51500,https://github.com/ionic-team/ionic-framework
google,material-design-icons,51200,https://github.com/google/material-design-icons
vsouza,awesome-ios,48300,https://github.com/vsouza/awesome-ios
appwrite,appwrite,47400,https://github.com/appwrite/appwrite
dkhamsing,open-source-ios-apps,44100,https://github.com/dkhamsing/open-source-ios-apps
dcloudio,uni-app,40500,https://github.com/dcloudio/uni-app
fastlane,fastlane,39900,https://github.com/fastlane/fastlane
expo,expo,37700,https://github.com/expo/expo
SheetJS,sheetjs,35400,https://github.com/SheetJS/sheetjs
xitu,gold-miner,34000,https://github.com/xitu/gold-miner
bilibili,ijkplayer,32800,https://github.com/bilibili/ijkplayer
utmapp,UTM,28300,https://github.com/utmapp/UTM
AvaloniaUI,Avalonia,26900,https://github.com/AvaloniaUI/Avalonia
quasarframework,quasar,26300,https://github.com/quasarframework/quasar
