username,repo_name,stars,repo_url
jquery,jquery,59400,https://github.com/jquery/jquery
NervJS,taro,36100,https://github.com/NervJS/taro
alvarotrigo,fullPage.js,35400,https://github.com/alvarotrigo/fullPage.js
cheeriojs,cheerio,29100,https://github.com/cheeriojs/cheerio
select2,select2,26000,https://github.com/select2/select2
nhn,tui.editor,17400,https://github.com/nhn/tui.editor
PuerkitoBio,goquery,14300,https://github.com/PuerkitoBio/goquery
pandao,editor.md,14000,https://github.com/pandao/editor.md
selectize,selectize.js,13000,https://github.com/selectize/selectize.js
jessepollak,card,11700,https://github.com/jessepollak/card
xifangczy,cat-catch,11600,https://github.com/xifangczy/cat-catch
jquery,jquery-ui,11300,https://github.com/jquery/jquery-ui
jquery-validation,jquery-validation,10400,https://github.com/jquery-validation/jquery-validation
snapappointments,bootstrap-select,9900,https://github.com/snapappointments/bootstrap-select
fengyuanchen,cropper,7700,https://github.com/fengyuanchen/cropper
fancyapps,fancybox,7300,https://github.com/fancyapps/fancybox
AllThingsSmitty,must-watch-javascript,7100,https://github.com/AllThingsSmitty/must-watch-javascript
fabiospampinato,cash,7000,https://github.com/fabiospampinato/cash
olifolkerd,tabulator,7000,https://github.com/olifolkerd/tabulator
yangzongzhuan,RuoYi,6800,https://github.com/yangzongzhuan/RuoYi
