username,repo_name,stars,repo_url
flutter,flutter,169000,https://github.com/flutter/flutter
jlevy,the-art-of-command-line,155000,https://github.com/jlevy/the-art-of-command-line
nodejs,node,110000,https://github.com/nodejs/node
jaywcjlove,awesome-mac,80100,https://github.com/jaywcjlove/awesome-mac
atom,atom,60300,https://github.com/atom/atom
alacritty,alacritty,57800,https://github.com/alacritty/alacritty
tldr-pages,tldr,53800,https://github.com/tldr-pages/tldr
lencx,ChatGPT,53600,https://github.com/lencx/ChatGPT
FiloSottile,mkcert,52400,https://github.com/FiloSottile/mkcert
sickcodes,Docker-OSX,49800,https://github.com/sickcodes/Docker-OSX
marktext,marktext,48700,https://github.com/marktext/marktext
agalwood,Motrix,46800,https://github.com/agalwood/Motrix
PowerShell,PowerShell,46600,https://github.com/PowerShell/PowerShell
vercel,hyper,43700,https://github.com/vercel/hyper
serhii-londar,open-source-mac-os-apps,42900,https://github.com/serhii-londar/open-source-mac-os-apps
Homebrew,brew,42700,https://github.com/Homebrew/brew
GitSquared,edex-ui,41700,https://github.com/GitSquared/edex-ui
iina,iina,39500,https://github.com/iina/iina
KRTirtho,spotube,35600,https://github.com/KRTirtho/spotube
nativefier,nativefier,35100,https://github.com/nativefier/nativefier
