username,repo_name,stars,repo_url
goldbergyoni,nodebestpractices,102000,https://github.com/goldbergyoni/nodebestpractices
oven-sh,bun,76500,https://github.com/oven-sh/bun
meteor,meteor,44600,https://github.com/meteor/meteor
yarnpkg,yarn,41500,https://github.com/yarnpkg/yarn
lerna,lerna,35800,https://github.com/lerna/lerna
pnpm,pnpm,30900,https://github.com/pnpm/pnpm
honojs,hono,22600,https://github.com/honojs/hono
renovatebot,renovate,18500,https://github.com/renovatebot/renovate
apify,crawlee,16900,https://github.com/apify/crawlee
verdaccio,verdaccio,16700,https://github.com/verdaccio/verdaccio
marticliment,UniGetUI,14700,https://github.com/marticliment/UniGetUI
jaywcjlove,reference,13000,https://github.com/jaywcjlove/reference
jaredpalmer,tsdx,11300,https://github.com/jaredpalmer/tsdx
astrit,css.gg,9800,https://github.com/astrit/css.gg
raineorshine,npm-check-updates,9600,https://github.com/raineorshine/npm-check-updates
npm,cli,8700,https://github.com/npm/cli
miniMAC,magic,8500,https://github.com/miniMAC/magic
voidcosmos,npkill,8500,https://github.com/voidcosmos/npkill
release-it,release-it,8300,https://github.com/release-it/release-it
tsparticles,tsparticles,8000,https://github.com/tsparticles/tsparticles
