username,repo_name,stars,repo_url
microsoft,ML-For-Beginners,71200,https://github.com/microsoft/ML-For-Beginners
Avik-Jain,100-Days-Of-ML-Code,46500,https://github.com/Avik-Jain/100-Days-Of-ML-Code
jakevdp,PythonDataScienceHandbook,44000,https://github.com/jakevdp/PythonDataScienceHandbook
apachecn,ailearning,40200,https://github.com/apachecn/ailearning
donnemartin,data-science-ipython-notebooks,27900,https://github.com/donnemartin/data-science-ipython-notebooks
ageron,handson-ml,25300,https://github.com/ageron/handson-ml
ml-tooling,best-of-ml-python,19700,https://github.com/ml-tooling/best-of-ml-python
onnx,onnx,18500,https://github.com/onnx/onnx
microsoft,onnxruntime,15800,https://github.com/microsoft/onnxruntime
virgili0,Virgilio,14000,https://github.com/virgili0/Virgilio
dask,dask,13000,https://github.com/dask/dask
rasbt,python-machine-learning-book,12300,https://github.com/rasbt/python-machine-learning-book
Yorko,mlcourse.ai,9900,https://github.com/Yorko/mlcourse.ai
EpistasisLab,tpot,9900,https://github.com/EpistasisLab/tpot
autogluon,autogluon,8500,https://github.com/autogluon/autogluon
ljpzzz,machinelearning,8400,https://github.com/ljpzzz/machinelearning
sktime,sktime,8200,https://github.com/sktime/sktime
automl,auto-sklearn,7800,https://github.com/automl/auto-sklearn
alteryx,featuretools,7400,https://github.com/alteryx/featuretools
rasbt,python-machine-learning-book-2nd-edition,7200,https://github.com/rasbt/python-machine-learning-book-2nd-edition
